id;placename;groupmode;y_lat;x_long;personcount;place_category
288;Silay, Philippines;P;10.75;122.9833;1;Point
289;Singapore;P;1.3667;103.8;1063;Polygon
290;Sintientsi;P;31.899999;105.948812;1;Point
291;Soai-Rieng, Cambodge;P;11.0833;105.8;1;Point
292;Soctrang, Cochinchine;P;9.6;105.9667;4;Point
293;Son-tay, Tonkin;P;21.1;105.5333;6;Point
294;Song-cau, Annam;P;13.4333;109.2;1;Point
295;Songkhone, Cochinchine;P;17.9667;105.1667;1;Point
296;Songpan, Szechuen;P;32.639411;103.596829;4;Point
297;Soochow;P;31.304077;120.59538;44;Point
298;Souvang, Tonkin;P;19.886907;105.461892;1;Point
299;Stung Treng, Cambodge;P;13.75;106.25;1;Polygon
300;Sungari, Manchuria;P;47.709444;132.512222;2;Polygon
301;Sungkiang, Kiangsu;P;31.035948;121.2146;1;Point
302;Swatow;P;23.36814;116.71479;85;Point
303;Szechuen;P;30.5;102.666667;76;Polygon
304;Szemao;P;22.7667;101.0833;7;Point
305;Taegu;P;35.8667;128.6;1;Point
306;Tai-ku, Shansi;P;37.426389;112.544167;2;Point
307;Tainan-fu;P;23.15027;120.34194;10;Polygon
308;Taiping;P;4.9;100.7;7;Point
309;Taiping, Kwangtung;P;22.769527;111.568818;1;Point
310;Taiyuan;P;37.869444;112.560278;1;Point
311;Takamatsu;P;34.3333;134.0167;1;Point
312;Takow;P;22.616256;120.313329;1;Point
313;Taku;P;33.2833;130.1333;22;Point
314;Talienwan;P;38.918007;121.612757;3;Point
315;Tan-an;P;10.5333;106.4;1;Point
316;Tang Un, West River;P;23.466917;111.372987;4;Point
317;Taning, Shansi;P;35.569444;112.409167;1;Point
318;Tay-ninh;P;11.35;106.1167;2;Point
319;Tehngan;P;32.330158;114.300239;1;Point
320;Tengyueh;P;24.994923;98.512759;1;Point
321;Thai-binh;P;20.446111;106.342222;3;Polygon
322;Thai-nguyen;P;21.594;105.848;5;Point
323;Thanh-hoa;P;19.8167;105.8;5;Point
324;Thanhson, Annam;P;11.572218;108.993229;1;Point
325;Thuan-an, Annam;P;16.548889;107.643611;2;Point
326;Thudamont, Cochinchine;P;10.9667;106.65;1;Point
327;Thuongxa, Annam;P;16.719809;107.228065;1;Point
328;Tibet;P;31.666667;88;4;Polygon
329;Tientsin;P;39.142222;117.176667;334;Point
330;Tienyen, Tonkin;P;21.3167;107.4167;1;Point
331;Timor;P;-8.5833;126;2;Polygon
332;Tong-ch'uan, Yunan;P;26.183333;103.066667;2;Point
333;Tongcheo;P;35.112222;109.090556;3;Point
334;Tonkin;P;22;105;136;Polygon
335;Tourane;P;16.0667;108.2333;35;Point
336;Toyama;P;36.7;137.2333;1;Point
337;Trakieu, Annam;P;15.8;108.2333;1;Point
338;Travinh;P;9.833333;106.25;3;Polygon
339;Ts'in-cheo, Kansuh;P;34.580278;105.727222;1;Point
340;Tsiningchow;P;35.405;116.581389;2;Point
341;Tsintau, Kiaochau;P;36.066049;120.369393;8;Point
342;Tsu;P;34.718611;136.505556;1;Point
343;Tsuyama;P;35.0667;134.0167;1;Point
344;Tuh-shan;P;25.833333;107.533333;1;Point
345;Tuyenquang;P;21.8;105.3;3;Point
346;Ulu Langat;P;3.112392;101.814897;2;Point
347;Urga, Mongolia;P;47.9;106.8667;1;Point
348;Van Yen, Annam;P;21.168863;107.538829;1;Point
349;Vinh;P;18.7;105.6833;3;Point
350;Vinhlong;P;10.25;105.9833;3;Point
351;Vladivostok;P;43.15;131.8833;222;Point
352;Waichau;P;23.083333;114.4;1;Point
353;Wei Hien;P;36.770833;119.210833;1;Point
354;Wenchow;P;27.999416;120.66682;20;Point
355;Whampoa;P;23.109799;113.4374;3;Polygon
356;Woosung;P;31.375659;121.490408;3;Point
357;Wuchang;P;30.5619;114.3404;27;Point
